COUNTRY_WB,ML_Weight_Score,ML_Rank,RISK_TIER
Seychelles,0.0039446030035360635,112.0,Vulnerable
Suriname,0.0044092445815962856,113.0,Vulnerable
Guinea,0.004885146157687335,114.0,Vulnerable
Syrian Arab Republic,0.00501077471170339,115.0,Vulnerable
Costa Rica,0.005628163053243497,116.0,Vulnerable
"Micronesia, Fed. Sts.",0.01185999247379885,117.0,Vulnerable
Libya,0.012973072198253293,118.0,Vulnerable
Maldives,0.015456159184784686,119.0,Vulnerable
Burundi,0.016175090862779726,120.0,Vulnerable
Romania,0.016546470277859982,121.0,Vulnerable
Philippines,0.017025367614889174,122.0,Vulnerable
"Yemen, Rep.",0.01706916378911837,123.0,Vulnerable
Benin,0.01978106495545805,124.0,Vulnerable
India,0.022217463914911736,125.0,Vulnerable
Chad,0.02290584796631385,126.0,Vulnerable
Nepal,0.024728913992370847,127.0,Vulnerable
Kosovo,0.02785761295825106,128.0,Vulnerable
Comoros,0.02799100752065777,129.0,Vulnerable
Mali,0.028043301619188367,130.0,Vulnerable
St. Kitts and Nevis,0.03225778972223621,131.0,Vulnerable
Ecuador,0.0355180969377347,132.0,Vulnerable
Portugal,0.03619548663382222,133.0,Vulnerable
Japan,0.03809358241827596,134.0,Vulnerable
Turkiye,0.038880289038382164,135.0,Vulnerable
Fiji,0.04004447604632701,136.0,Vulnerable
Mongolia,0.04131511353996058,137.0,Vulnerable
Colombia,0.04394657616332294,138.0,Vulnerable
Mexico,0.04710392244578279,139.0,Vulnerable
St. Vincent and the Grenadines,0.04781810304392012,140.0,Vulnerable
Montenegro,0.04783239454652783,141.0,Vulnerable
Burkina Faso,0.048940214209197516,142.0,Vulnerable
Lebanon,0.04960823617491225,143.0,Vulnerable
Angola,0.05175244139404572,144.0,Vulnerable
Palau,0.05227011838296847,145.0,Vulnerable
Bangladesh,0.05377137960213,146.0,Vulnerable
Tanzania,0.05403676533162089,147.0,Vulnerable
Uganda,0.0568520155964995,148.0,Vulnerable
Nicaragua,0.05899782694544344,149.0,Vulnerable
Tajikistan,0.05922751812357956,150.0,Vulnerable
Tunisia,0.06342470878811579,151.0,Vulnerable
Armenia,0.06445603219659081,152.0,Vulnerable
China,0.07073949418238037,153.0,Vulnerable
Belarus,0.07661892245533966,154.0,Distressed
Cabo Verde,0.07812993810794881,155.0,Distressed
Jamaica,0.0804686786708192,156.0,Distressed
Albania,0.08320980208595194,157.0,Distressed
Central African Republic,0.08357124459982397,158.0,Distressed
Georgia,0.08864434061735156,159.0,Distressed
Indonesia,0.09039582475765771,160.0,Distressed
Sri Lanka,0.09155694420410813,161.0,Distressed
Grenada,0.0944812710406829,162.0,Distressed
Sao Tome and Principe,0.09577771759189282,163.0,Distressed
El Salvador,0.0991429601134478,164.0,Distressed
Moldova,0.10033868772287358,165.0,Distressed
Ghana,0.100563538054308,166.0,Distressed
St. Lucia,0.10469864024730584,167.0,Distressed
Greece,0.11303369890407984,168.0,Distressed
Kyrgyz Republic,0.1195157556276976,169.0,Distressed
Niger,0.12394699296780105,170.0,Distressed
Zambia,0.1250091744607678,171.0,Distressed
Liberia,0.12610911690330118,172.0,Distressed
Haiti,0.1314812774962788,173.0,Distressed
"Venezuela, RB",0.1361867707400602,174.0,Distressed
Madagascar,0.13960024543501537,175.0,Distressed
Mauritania,0.14352160009677487,176.0,Distressed
Malawi,0.14935822736693796,177.0,Distressed
Sierra Leone,0.15645601801439385,178.0,Distressed
Viet Nam,0.16005266528084558,179.0,Distressed
South Africa,0.1781689151750473,180.0,Distressed
Afghanistan,0.17836406819996314,181.0,Distressed
Kenya,0.18140344841078895,182.0,Crisis
Pakistan,0.2023571155565484,183.0,Crisis
Dominica,0.20697704580435158,184.0,Crisis
Mozambique,0.2100129659780705,185.0,Crisis
"Somalia, Fed. Rep.",0.22705941718712616,186.0,Crisis
Ukraine,0.23468488227390924,187.0,Crisis
South Sudan,0.27111516420086257,188.0,Crisis
Argentina,0.2976640187969379,189.0,Crisis
Zimbabwe,0.4774875425944018,190.0,Crisis
Sudan,0.8044321672565619,191.0,Crisis
